name,parent,prob,x,y,w,h
1.jpg,1.jpg,0.7429372668266296,0,270,165,229
2.jpg,1.jpg,0.9920471906661987,174,344,218,155
3.jpg,1.jpg,0.8455371856689453,341,104,103,103
4.jpg,2.jpg,0.9982755184173584,416,126,390,390
5.jpg,2.jpg,0.9998708963394165,12,122,345,345
6.jpg,2.jpg,0.9994032382965088,818,110,335,335
7.jpg,3.jpg,0.9995245933532715,789,131,261,261
8.jpg,3.jpg,0.9999986886978149,202,19,227,227
9.jpg,3.jpg,0.9999794960021973,1162,99,211,211
10.jpg,3.jpg,0.9999998807907104,436,186,213,213
11.jpg,3.jpg,0.9999997615814209,1452,137,202,203
12.jpg,4.jpg,0.9964650869369507,162,18,126,127
13.jpg,4.jpg,0.9998639822006226,357,51,120,121
14.jpg,4.jpg,0.999915361404419,602,100,105,105
15.jpg,4.jpg,0.7935276627540588,301,179,86,87
16.jpg,1_90.jpg,0.9999663829803467,320,252,179,247
17.jpg,1_90.jpg,0.896257758140564,0,168,176,218
18.jpg,1_90.jpg,0.9999499320983887,313,2,186,228
19.jpg,1_90.jpg,0.8977540731430054,35,0,179,166
20.jpg,1_90.jpg,0.9999417066574097,161,173,202,202
21.jpg,1_180.jpg,0.9966769218444824,330,0,169,245
22.jpg,1_180.jpg,0.7328064441680908,271,322,227,177
23.jpg,1_180.jpg,0.9107058644294739,55,335,147,147
24.jpg,1_270.jpg,0.9507220983505249,0,263,193,236
25.jpg,1_270.jpg,0.7343634366989136,130,119,212,212
